x_pos;power
38.099;477.724
38.199;477.654
38.299;477.584
38.399;477.515
38.499;477.447
38.599;477.378
38.699;477.31
38.799;477.242
38.899;477.175
38.999;477.107
39.099;477.041
39.199;476.974
39.299;476.908
39.399;476.842
39.499;476.776
39.599;476.71
39.699;476.645
39.799;476.58
39.899;476.516
39.999;476.452
40.099;476.388
40.199;476.324
40.299;476.261
40.399;476.197
40.499;476.134
40.599;476.072
40.699;476.01
40.799;475.948
40.899;475.886
40.999;475.824
41.099;475.763
41.199;475.702
41.299;475.641
41.399;475.581
41.499;475.521
41.599;475.461
41.699;475.401
41.799;475.341
41.899;475.282
41.999;475.223
42.099;475.165
42.199;475.106
42.299;475.048
42.399;474.99
42.499;474.932
42.599;474.875
42.699;474.818
42.799;474.761
42.899;474.704
42.999;474.648
43.099;474.591
43.199;474.535
43.299;474.48
43.399;474.424
43.499;474.369
43.599;474.314
43.699;474.259
43.799;474.204
43.899;474.15
43.999;474.095
44.0989;474.041
44.1989;473.988
44.2989;473.934
44.3989;473.881
44.4989;473.828
44.5989;473.775
44.6989;473.722
44.7989;473.67
44.8989;473.617
44.9989;473.565
45.0989;473.513
45.1989;473.462
45.2989;473.41
45.3989;473.359
45.4989;473.308
45.5989;473.257
45.6989;473.207
45.7989;473.156
45.8989;473.106
45.9989;473.056
46.0989;473.006
46.1989;472.957
46.2989;472.907
46.3989;472.858
46.4989;472.809
46.5989;472.76
46.6989;472.712
46.7989;472.663
46.8989;472.615
46.9989;472.567
47.0989;472.519
47.1989;472.471
47.2989;472.424
47.3989;472.376
47.4989;472.329
47.5989;472.282
47.6989;472.235
47.7989;472.189
47.8989;472.142
47.9989;472.096
48.0989;472.05
