xpos;power;ReflPercent
-8.50095;908.898;83.8405
-8.40095;909.546;83.9003
-8.30095;910.195;83.9602
-8.20095;910.846;84.0202
-8.10095;911.498;84.0804
-8.00095;912.151;84.1406
-7.90095;912.805;84.201
-7.80095;913.46;84.2614
-7.70095;914.116;84.3218
-7.60095;914.771;84.3823
-7.50095;915.428;84.4429
-7.40095;916.084;84.5034
-7.30095;916.741;84.564
-7.20095;917.398;84.6246
-7.10095;918.054;84.6851
-7.00095;918.71;84.7456
-6.90095;919.365;84.8061
-6.80095;920.02;84.8664
-6.70095;920.673;84.9267
-6.60095;921.326;84.9869
-6.50095;921.977;85.047
-6.40095;922.626;85.1069
-6.30095;923.274;85.1666
-6.20095;923.92;85.2262
-6.10095;924.564;85.2856
-6.00095;925.205;85.3447
-5.90095;925.843;85.4036
-5.80095;926.479;85.4623
-5.70095;927.112;85.5206
-5.60095;927.741;85.5787
-5.50095;928.367;85.6364
-5.40095;928.988;85.6938
-5.30095;929.606;85.7507
-5.20095;930.219;85.8073
-5.10095;930.828;85.8635
-5.00095;931.432;85.9191
-4.90095;932.03;85.9743
-4.80095;932.623;86.0291
-4.70095;933.211;86.0832
-4.60095;933.792;86.1369
-4.50095;934.367;86.1899
